id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication
5143689929952941,PikzCFLdj,2672926347,lyman2003,西方网友在为中国的自动驾驶无人车震撼西方已经停滞了30年，跟30年前的“北京人在纽约”时没什么两样，我还记得当年看这个电视剧时对纽约的震撼现在我对西方已经从仰视变成了俯视，这就是30年来中国的发展速度#烽火问鼎计划#,,,,烽火问鼎计划,15,29,339,2025-03-13 10:58,一加 Ace 2,,"http://f.video.weibocdn.com/o0/oYeT38fvlx08mDBx2c9i01041200D0ws0E010.mp4?label=mp4_720p&template=720x720.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1742723656&ssig=Wn0l6jmCqj&KID=unistore,video",,湖北,金V
5143802285920755,PinuQoQg3,2323195050,Blood旌旗,华为新款问界M9将在20号发布，不仅订单量远超预期，还可能是第一款面向自动驾驶的家用车其他很多品牌连基础的城区NOA都没做好，居然也敢吹「L3自动驾驶的架构」，谁给你的勇气？LBlood旌旗的微博视频,,,,,27,229,1260,2025-03-13 18:24,微博视频号,,"http://f.video.weibocdn.com/u0/x2VZK6r4gx08mE6ja0h201041201YpZt0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1742723656&ssig=6JLtopC4jk&KID=unistore,video",,广东,金V
5143667673926282,PijZJgtp8,6406826296,影总Tim,理想端到端1000wclips模型已经进入超级对齐阶段，迭代和发版速度非常快，每天上车都开到新模型会成为我们几个早鸟车主接下来一段时间的日常。所以接下来我会使用一条固定的测试路线，这条路线包括上下闸道，可变车道，环岛和调头等场景。尽量第一时间产出视频内容，更加直观的让大家看到每一个版本的变化。那么废话不多说，今天先为大家带来10.15.8-310的视频。车位到车位，40分钟路程，0接管，一镜到底。#影总聊智驾##理想次世代端到端智能驾驶##大v聊车#L影总Tim的微博视频,,,,"影总聊智驾,理想次世代端到端智能驾驶,大v聊车",286,257,475,2025-03-13 09:30,微博视频号,,"http://f.video.weibocdn.com/o0/tUe8vdjXlx08mD4Hs7t60104120eOLsN0E060.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1742723656&ssig=ZyYpe%2FFPr0&KID=unistore,video",,浙江,金V
5143750470271090,Pim9h18wq,2963774131,数码科技大爆炸VVV,央视新闻展示L3级别自动驾驶……L数码科技大爆炸VVV的微博视频,,,,,11,16,95,2025-03-13 14:59,快乐星球永久居民,,"http://f.video.weibocdn.com/u0/NLLTRoysgx08mDQBUNwQ01041201cJ2F0E010.mp4?label=mp4_720p&template=720x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1742723656&ssig=MMAgtAp%2FmU&KID=unistore,video",,广东,金V
5143876672950086,PipqPcns2,2094451373,天天越野跑,特斯拉FSD，过分了啊，你个第三阵营的智驾，在大雨大雾的夜晚的山路上开这么溜你让第一阵营的其他品牌怎么发挥你让那些吹激光雷达的骗子们脸往里放#自动驾驶##智能辅助驾驶#特斯拉超话L天天越野跑的微博视频,,,,"自动驾驶,智能辅助驾驶",11,54,140,2025-03-13 23:20,特斯拉超话,,"http://f.video.weibocdn.com/o0/ZvDLxpUAlx08mEqBM8xG01041200owI60E010.mp4?label=mp4_hd&template=960x464.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1742723656&ssig=qj%2BNHZol9J&KID=unistore,video",,美国,普通用户
5143697022520471,PikL4azGL,2880620770,梦想家陈轶亮,#极氪007GT全新内饰曝光#来吧，展示！我都忘记之前还看过极氪007GT的真车了，当时两个宇树机器人坐在车里，在第二排还坐了一只机器狗，超级有未来感！其实以后的自动驾驶也分两种，一种是机器人驾驶，一种是车辆自己驾驶，如果你的机器人能够满足L3驾驶的等级，老车也可以变成自动驾驶的车今天官方也曝光出一组极氪007GT内饰的图，感觉甲板那里有一点极氪MIX的设计语言，然后第二排也是无边框车门，包括中控屏下方，用了极氪7X同款的物理按键，感觉还不错呢…,,,,极氪007GT全新内饰曝光,4,8,36,2025-03-13 11:26,三星Galaxy S25 Ultra,"https://wx2.sinaimg.cn/large/abb2c8e2gy1hzf6fj65kwj23341fc4qp.jpg,https://wx3.sinaimg.cn/large/abb2c8e2gy1hzf6fk7bshj23341fchdt.jpg,https://wx2.sinaimg.cn/large/abb2c8e2gy1hzf6fl140jj23341fcb29.jpg,https://wx2.sinaimg.cn/large/abb2c8e2gy1hzf6flru59j23341fc4qp.jpg,https://wx4.sinaimg.cn/large/abb2c8e2gy1hzf6fnzlh8j23341qkqv5.jpg,https://wx2.sinaimg.cn/large/abb2c8e2gy1hzf6fozqcaj23341qke81.jpg,https://wx4.sinaimg.cn/large/abb2c8e2ly1hzf6ke3d06j20j60asn2a.jpg,https://wx3.sinaimg.cn/large/abb2c8e2ly1hzf6khi93yj20j60as43k.jpg,https://wx3.sinaimg.cn/large/abb2c8e2ly1hzf6kmy2jdj20j60as78v.jpg",,,浙江,金V
5143685436279221,PiksnqlvL,7776886852,XP-李力耘,昨天回到母校，以自动驾驶从业者的视角，和学弟学妹们聊了聊AI汽车、基座模型、强化学习这些热点内容。很开心看到年轻的同学们，对physicalAI的热情畅想。当前小鹏的基座模型已经初见成效，也打个广告，我们持续招兵买马中，期待更多怀抱AI理想、敢于挑战L4级无人驾驶的青年加入，一起定义下一个十年附投递链接:O网页链接,,,,,6,13,74,2025-03-13 10:40,微博网页版,"https://wx3.sinaimg.cn/large/008uj1wUgy1hzf4z797kgj34mo334kjp.jpg,https://wx2.sinaimg.cn/large/008uj1wUgy1hzf4yvs7gdj30qo193goq.jpg",,,广东,黄V
5143780915155968,PimWnlDiM,2062985282,大懒货,【技术向】研究快览理想汽车3月12日发的关于【世界模型】仿真方向的研究❗【火热出炉】❗其他车辆轨迹同样重要：驾驶世界模型在视频潜在空间中统一自车与其他车辆轨迹OtherVehicleTrajectoriesAreAlsoNeeded:ADrivingWorldModelUnifiesEgo-OtherVehicleTrajectoriesinVideoLatantSpace@本诺__起床看文献啦⭐研究背景⭐：传统的端到端自动驾驶驾驶场景表现出了非常好的成绩，但是对于长尾场景仍然存在很大的挑战。而且使用传统端到端技术去模拟处理成本非常高。因此需要使用可以根据历史观测和未来驾驶动作预测未来驾驶场景的【世界模型】去处理这些传统端到端技术较难处理的长尾场景。而传统的世界模型主要关注自车的轨迹，将轨迹描述成BEV【鸟瞰图】空间中的一系列的点，并将这个点的信息作为视频生成的条件：该方法存在三个主要缺点：1️⃣：只考虑自车的轨迹，使得在生成的视频中其他车辆不可控2️⃣：模型无法真实地模拟自车与驾驶场景之间的交互，也无法通过改变其他车辆的轨迹来生成多样化的新场景3️⃣：基于BEV空间中轨迹点的编码分布与视觉模态下视频潜在特征的分布有很大差异，且没有对齐它们的特征空间为了解决这些问题❓：本研究提出了一种在视频中统一自车和其他车辆轨迹的驾驶世界模型EOT-WM简单来说⭐：1️⃣：舍弃了通过使用BEV空间的坐标点来表示轨迹，而是将这些点直接投影在图像坐标中，并在单独的空白视频中绘制自车轨迹和其他车辆轨迹，以生成用于在统一视觉模态下学习的轨迹视频。2️⃣：采用时空变分自编码器（STVAE）对场景视频和轨迹视频进行编码，以获得共享特征空间的场景视频潜在特征和轨迹潜在特征；3️⃣：通过这种方式获得的场景和轨迹潜在特征在时间和空间上对齐，以实现有效控制；4️⃣：设计了轨迹注入扩散变换器（TiDiT），将轨迹潜在特征提供的运动引导信息集成到视频潜在特征中，以便更精确地对有噪声的视频潜在特征进行去噪；我非常感兴趣的一点可以看图2和图5中，这里用到了大语言模型LLM，通过提词的方式用文本和轨迹双重预估控制的方式提高世界模型生成视频的预测性。【也就是说，这个EOT-WM】一方面具备了传统世界模型对于长尾场景预测性较高的特点；另一方面让世界模型在预测的过程中，能对齐语义信息，从而提升世界模型对于复杂真实世界语言信息的理解能力真火热出炉，感谢@大雁jassy给我发的链接：原文链接如下：O网页链接#懒博小课堂##理想l9##大v聊车#,,,"本诺__,大雁jassy","懒博小课堂,理想l9,大v聊车",6,6,32,2025-03-13 17:00,微博网页版,"https://wx3.sinaimg.cn/large/7af6a842ly1hzfb0do2y1j20v10ukb29.jpg,https://wx2.sinaimg.cn/large/7af6a842ly1hzfb0et404j21420bwwna.jpg,https://wx4.sinaimg.cn/large/7af6a842ly1hzfb0hs26oj21321281eg.jpg,https://wx2.sinaimg.cn/large/7af6a842ly1hzfb0gjrtkj21680h2dr6.jpg,https://wx3.sinaimg.cn/large/7af6a842ly1hzfb0gk79lj20y00qc17q.jpg",,,浙江,红V
5143718966856316,PilkssLDK,5888499702,小特叔叔,群里捡的。这就是国内智驾跟FSD基础能力的差距，上车没几分钟你就能get。L小特叔叔的微博视频,,,,,28,76,277,2025-03-13 12:53,微博视频号,,"http://f.video.weibocdn.com/o0/N5S9tsAilx08mDJwHkCY01041200eUI60E010.mp4?label=mp4_720p&template=592x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1742723656&ssig=ozUPfPw4Bt&KID=unistore,video",,上海,金V
5143721985444831,PilpkmQrR,5881975508,类星频道,「这个场景很难理解的，超级难理解。」「这还需要理解吗？！」这段很好地展现了特斯拉FSD的基础能力，你都不知道智驾可以有多接近人，直到开了FSD。华为一瞬间有提前绕行的意图，但后面不知道为啥路线又变直行了。L类星频道的微博视频,,,,,12,32,110,2025-03-13 13:05,微博视频号,,"http://f.video.weibocdn.com/o0/eQ3yZHFelx08mDKyzUFa01041200jpyM0E010.mp4?label=mp4_720p&template=720x732.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1742723656&ssig=1TE%2FhE1AtL&KID=unistore,video",,上海,金V
